Längengrad;Breitengrad;ID;company;Adresse;PLZ;Ort;Bezirk;Nutzung der Grundstücksfläche nach dem FNP;Präsenz im Stadtbild ;url;caption
13.3849844;52.4837587;1.01;GORILLAS;Kaiserkorso 154;12101;Berlin;Charlottenburg-Wilmersdorf;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-01.jpg;Abb. 003 © Eigene Aufnahme (Fotoaufnahme vom 15.04.2023 - 11:20 Uhr) 
13.3105013;52.5115844;1.02;GORILLAS;Bismarckstraße 94;10625;Berlin;Charlottenburg-Wilmersdorf;Sonderbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-02.jpg;Abb. 006 © Eigene Aufnahme (Fotoaufnahme vom 04.04.2023 - 18:30 Uhr) 
13.3920187;52.5076264;1.03;GORILLAS;Charlottenstraße 81;10969;Berlin;Friedrichshain-Kreuzberg;Sonderbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-03.jpg;Abb. 009 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 20:20 Uhr) 
13.4729294;52.507982;1.04;GORILLAS;Gürtelstraße 25;10247;Berlin;Friedrichshain-Kreuzberg;Fläche mit gewerblichem Charakter ;Lager in Gewerbehof. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-04.jpg;Abb. 012 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 18:40 Uhr) 
13.3350636125448;52.4709084411284;1.05;GORILLAS;Rheinstraße 65;12159;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager wird über den Hintereingang des Gebäudes erschlossen. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-05.jpg;Abb. 015 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 14:30 Uhr) 
13.374864;52.5554713;1.06;GORILLAS;Schwedenstraße 14;13357;Berlin;Mitte;Wohnbaufläche;Lager in Gewerbehof. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-06.jpg;Abb. 018 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 19:10 Uhr) 
13.3351024;52.5265693;1.07;GORILLAS;Turmstraße 76a;10551;Berlin;Mitte;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-07.jpg;Abb. 020 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 20:00 Uhr) 
13.4237457;52.4881976;1.08;GORILLAS;Urbanstraße 72;10967;Berlin;Friedrichshain-Kreuzberg;Sonderbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-08.jpg;Abb. 023 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 19:30 Uhr) 
13.4268761;52.5606806;1.09;GORILLAS;Elsa-Brändström-Straße 95;13189;Berlin;Pankow;Wohnbaufläche;Lager nach Außen hin nicht als solches erkennbar. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-09.jpg;Abb. 026 © Eigene Aufnahme (Fotoaufnahme vom 21.04.2023 - 17:40 Uhr) 
13.424828;52.5409048;1.10;GORILLAS;Prenzlauer Allee 189;10405;Berlin;Pankow;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-10.jpg;Abb. 030 © Eigene Aufnahme (Fotoaufnahme vom 06.04.2023 - 18:10 Uhr) 
